Address:,USB0::0x0957::0x179B::MY54313426::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Serial Number:,MY54313426,,-0.005,-0.080752280075103,0.153486160561442,,-0.005,2.12500094622374,
Firmware Version:,02.65.2021030741,,-0.004958333335,-0.080752280075103,0.153486160561442,,-0.004958333335,2.12500094622374,
Start Time:,2023-03-01 15:41:39.999,,-0.00491666667,-0.0757271554321051,0.153486160561442,,-0.00491666667,2.12500094622374,
,,,-0.004875000005,-0.0757271554321051,0.153486160561442,,-0.004875000005,2.12500094622374,
Analog Sample Count:,960,,-0.00483333334,-0.0757271554321051,0.153486160561442,,-0.00483333334,2.12500094622374,
Function Sample Count:,960,,-0.004791666675,-0.0757271554321051,0.153486160561442,,-0.004791666675,2.12500094622374,
Waveform Memory Sample Count:,0,,-0.00475000001,-0.080752280075103,0.153486160561442,,-0.00475000001,2.12500094622374,
Digital Sample Count:,0,,-0.004708333345,-0.0757271554321051,0.153486160561442,,-0.004708333345,2.12500094622374,
,,,-0.00466666668,-0.0757271554321051,0.153486160561442,,-0.00466666668,2.12500094622374,
Setup Text Information:,,,-0.004625000015,-0.0757271554321051,0.153486160561442,,-0.004625000015,2.12500094622374,
ANALOG,,,-0.00458333335,-0.0757271554321051,0.153486160561442,,-0.00458333335,2.12500094622374,
Channel 1,,,-0.004541666685,-0.080752280075103,0.153486160561442,,-0.004541666685,2.12500094622374,
Scale,2 V/,,-0.00450000002,-0.0757271554321051,0.153486160561442,,-0.00450000002,2.12500094622374,
Pos,9.07 V,,-0.004458333355,-0.080752280075103,0.153486160561442,,-0.004458333355,2.12500094622374,
Coup,,,-0.00441666669,-0.0757271554321051,0.153486160561442,,-0.00441666669,2.12500094622374,
BW,Off,,-0.004375000025,-0.0757271554321051,0.153486160561442,,-0.004375000025,2.12500094622374,
Inv,Off,,-0.00433333336,-0.0757271554321051,0.153486160561442,,-0.00433333336,2.12500094622374,
Imp,1M Ohm,,-0.004291666695,-0.0757271554321051,0.153486160561442,,-0.004291666695,2.12500094622374,
Trace Label,1,,-0.00425000003,-0.0757271554321051,0.153486160561442,,-0.00425000003,2.12500094622374,
Probe,1,,-0.004208333365,-0.0757271554321051,0.153486160561442,,-0.004208333365,2.12500094622374,
Skew,0 s,,-0.0041666667,-0.0757271554321051,0.153486160561442,,-0.0041666667,2.12500094622374,
,,,-0.004125000035,-0.0757271554321051,0.153486160561442,,-0.004125000035,2.12500094622374,
Channel 2,,,-0.00408333337,-0.0757271554321051,0.153486160561442,,-0.00408333337,2.12500094622374,
Scale,500 mV/,,-0.004041666705,-0.0757271554321051,0.153486160561442,,-0.004041666705,2.12500094622374,
Pos,2.70625 V,,-0.00400000004,-0.0757271554321051,0.153486160561442,,-0.00400000004,2.12500094622374,
