Time,Vx,Vy
-0.004375,-0.043645722,-0.014456113
-0.004348958,-0.043645722,-0.014456113
-0.004322917,-0.043645722,-0.014456113
-0.004296875,-0.043645722,-0.014456113
-0.004270833,-0.043645722,-0.015812897
-0.004244792,-0.042188436,-0.015812897
-0.00421875,-0.043645722,-0.015134505
-0.004192708,-0.043645722,-0.014456113
-0.004166667,-0.043645722,-0.013777721
-0.004140625,-0.043645722,-0.014456113
-0.004114583,-0.042188436,-0.014456113
-0.004088542,-0.043645722,-0.013777721
-0.0040625,-0.045103009,-0.014456113
-0.004036458,-0.043645722,-0.014456113
-0.004010417,-0.043645722,-0.013099329
-0.003984375,-0.045103009,-0.013777721
-0.003958333,-0.043645722,-0.013777721
-0.003932292,-0.045103009,-0.013777721
-0.00390625,-0.043645722,-0.013777721
-0.003880208,-0.045103009,-0.014456113
-0.003854167,-0.045103009,-0.014456113
-0.003828125,-0.043645722,-0.015134505
-0.003802083,-0.043645722,-0.015134505
-0.003776042,-0.043645722,-0.014456113
-0.00375,-0.043645722,-0.013777721
-0.003723958,-0.043645722,-0.014456113
-0.003697917,-0.043645722,-0.013777721
-0.003671875,-0.043645722,-0.014456113
-0.003645833,-0.043645722,-0.014456113
-0.003619792,-0.043645722,-0.015134505
-0.00359375,-0.043645722,-0.015134505
-0.003567708,-0.043645722,-0.014456113
-0.003541667,-0.043645722,-0.014456113
-0.003515625,-0.043645722,-0.014456113
-0.003489583,-0.043645722,-0.015134505
-0.003463542,-0.042188436,-0.015134505
-0.0034375,-0.043645722,-0.015134505
-0.003411458,-0.043645722,-0.015134505
-0.003385417,-0.045103009,-0.015134505
-0.003359375,-0.043645722,-0.015134505
-0.003333333,-0.043645722,-0.014456113
-0.003307292,-0.043645722,-0.013777721
-0.00328125,-0.043645722,-0.013099329
-0.003255208,-0.043645722,-0.013099329
-0.003229167,-0.043645722,-0.013777721
-0.003203125,-0.043645722,-0.013099329
-0.003177083,-0.045103009,-0.014456113
-0.003151042,-0.043645722,-0.013777721
-0.003125,-0.043645722,-0.014456113
-0.003098958,-0.043645722,-0.013099329
-0.003072917,-0.043645722,-0.014456113
-0.003046875,-0.045103009,-0.013099329
-0.003020833,-0.045103009,-0.013099329
-0.002994792,-0.045103009,-0.014456113
-0.00296875,-0.043645722,-0.013777721
-0.002942708,-0.045103009,-0.014456113
-0.002916667,-0.043645722,-0.013777721
-0.002890625,-0.045103009,-0.013777721
-0.002864583,-0.043645722,-0.015134505
-0.002838542,-0.043645722,-0.014456113
